偷,ㄊㄡ,to steal / to pilfer / to snatch / thief / stealthily,
偷偷,ㄊㄡ ㄊㄡ,stealthily / secretly / covertly / furtively / on the sly,
頭,ㄊㄡˊ,suffix for nouns,
頭腦,ㄊㄡˊ ㄋㄠˇ,brains / mind / skull / (fig.) gist (of a matter) / leader / boss,
投票,ㄊㄡˊ ㄆㄧㄠˋ,to vote / vote,
投入,ㄊㄡˊ ㄖㄨˋ,to throw into / to put into / to throw oneself into / to participate in / to invest in / absorbed / engrossed,
投降,ㄊㄡˊ ㄒㄧㄤˊ,to surrender / surrender,
投資,ㄊㄡˊ ㄗ,investment / to invest,
透,ㄊㄡˋ,to penetrate / to pass through / thoroughly / completely / transparent / to appear / to show,
透過,ㄊㄡˋ ㄍㄨㄛˋ,to pass through / to penetrate / by means of / via,
禿,ㄊㄨ,bald / blunt,
突出,ㄊㄨˊ ㄔㄨ,prominent / outstanding / to give prominence to / to protrude / to project,
突破,ㄊㄨˊ ㄆㄛˋ,to break through / to make a breakthrough / to surmount or break the back of (a task etc) / (of ball sports) to break through a defense,
突破,ㄊㄨˊ ㄆㄛˋ,to break through / to make a breakthrough / to surmount or break the back of (a task etc) / (of ball sports) to break through a defense,
途徑,ㄊㄨˊ ㄐㄧㄥˋ,way / channel,
圖書,ㄊㄨˊ ㄕㄨ,books (in a library or bookstore),本 / 冊 / 部
圖章,ㄊㄨˊ ㄓㄤ,stamp / seal,方
吐,ㄊㄨˇ,to vomit / to throw up,
團,ㄊㄨㄢˊ,"round / lump / ball / to roll into a ball / to gather / regiment / group / society / classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)",
團結,ㄊㄨㄢˊ ㄐㄧㄝˊ,to unite / unity / solidarity / united,
推動,ㄊㄨㄟ ㄉㄨㄥˋ,to push (for acceptance of a plan) / to push forward / to promote / to actuate,個
推翻,ㄊㄨㄟ ㄈㄢ,to overthrow,
推廣,ㄊㄨㄟ ㄍㄨㄤˇ,to extend / to spread / to popularize / generalization / promotion (of a product etc),
退,ㄊㄨㄟˋ,to retreat / to decline / to move back / to withdraw,
退出,ㄊㄨㄟˋ ㄔㄨ,to withdraw / to abort / to quit / to log out (computing),
退回,ㄊㄨㄟˋ ㄏㄨㄟˊ,to return (an item) / to send back / to go back,
吞,ㄊㄨㄣ,to swallow / to take,
拖,ㄊㄨㄛ,to drag / to tow / to trail / to hang down / to mop (the floor) / to delay / to drag on,
拖鞋,ㄊㄨㄛ ㄒㄧㄝˊ,slippers / sandals / flip-flops,雙 / 隻
托兒所,ㄊㄨㄛ ㄦˊ ㄙㄨㄛˇ,nursery,
脫離,ㄊㄨㄛ ㄌㄧˊ,to separate oneself from / to break away from / diastasis (medicine) / abscission / abjunction (botany),
妥當,ㄊㄨㄛˇ ㄉㄤˋ,appropriate / proper / ready,
妥善,ㄊㄨㄛˇ ㄕㄢˋ,appropriate / proper,
妥協,ㄊㄨㄛˇ ㄒㄧㄝˊ,to compromise / to reach terms / a compromise,
哇,ㄨㄚ,"replaces 啊[a5] when following the vowel ""u"" or ""ao""",
挖,ㄨㄚ,to dig / to excavate / to scoop out,
歪,ㄨㄞ,to sprain (one's ankle) (Tw),
外部,ㄨㄞˋ ㄅㄨˋ,external part / external,
外出,ㄨㄞˋ ㄔㄨ,to go out / to go away (on a trip etc),
外地,ㄨㄞˋ ㄉㄧˋ,parts of the country other than where one is,
外觀,ㄨㄞˋ ㄍㄨㄢ,exterior appearance / to view sth from the outside / exterior condition,
外行,ㄨㄞˋ ㄏㄤˊ,layman / amateur,
外匯,ㄨㄞˋ ㄏㄨㄟˋ,foreign (currency) exchange,
外交,ㄨㄞˋ ㄐㄧㄠ,diplomacy / diplomatic / foreign affairs,個
外界,ㄨㄞˋ ㄐㄧㄝˋ,the outside world / external,
外科,ㄨㄞˋ ㄎㄜ,surgery (branch of medicine),
外頭,ㄨㄞˋ ㄊㄡˊ,outside / out,
彎,ㄨㄢ,to bend / bent / a bend / a turn (in the road etc),道
彎腰,ㄨㄢ ㄧㄠ,to stoop,
完畢,ㄨㄢˊ ㄅㄧˋ,to finish / to end / to complete,
完善,ㄨㄢˊ ㄕㄢˋ,"(of systems, facilities etc) comprehensive / well-developed / excellent / to refine / to improve",
完整,ㄨㄢˊ ㄓㄥˇ,complete / intact,
玩笑,ㄨㄢˊ ㄒㄧㄠˋ,to joke / joke / jest,
晚輩,ㄨㄢˇ ㄅㄟˋ,the younger generation / those who come after,
往,ㄨㄤˇ,to go (in a direction) / to / towards / (of a train) bound for / past / previous,
望,ㄨㄤˋ,full moon / to hope / to expect / to visit / to gaze (into the distance) / to look towards / towards,
威脅,ㄨㄟ ㄒㄧㄝˊ,to threaten / to menace,
威脅,ㄨㄟ ㄒㄧㄝˊ,to threaten / to menace,
圍,ㄨㄟˊ,"to encircle / to surround / all around / to wear by wrapping around (scarf, shawl)",
違反,ㄨㄟˊ ㄈㄢˇ,to violate (a law),
維護,ㄨㄟˊ ㄏㄨˋ,to defend / to safeguard / to protect / to uphold / to maintain,
維他命,ㄨㄟˊ ㄊㄚ ㄇㄧㄥˋ,vitamin (loanword),
危機,ㄨㄟˊ ㄐㄧ,crisis,個
為難,ㄨㄟˊ ㄋㄢˊ,to feel embarrassed or awkward / to make things difficult (for someone) / to find things difficult (to do or manage),
唯一,ㄨㄟˊ ㄧ,only / sole,
尾巴,ㄨㄟˇ ㄅㄚ˙,tail / colloquial pr. [yi3 ba5],
委屈,ㄨㄟˇ ㄑㄩ,to feel wronged / to cause sb to feel wronged / grievance,
委託,ㄨㄟˇ ㄊㄨㄛ,to entrust / to trust / to commission,
委員,ㄨㄟˇ ㄩㄢˊ,committee member / committee / council,個
未,ㄨㄟˋ,"not yet / did not / have not / not / 8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep / ancient Chinese compass point: 210°",
未婚,ㄨㄟˋ ㄏㄨㄣ,unmarried,
位於,ㄨㄟˋ ㄩˊ,to be located at / to be situated at / to lie,
味,ㄨㄟˋ,taste / smell / classifier for drugs (in TCM),
味兒,ㄨㄟˋ ㄦ,taste,
味精,ㄨㄟˋ ㄐㄧㄥ,monosodium glutamate (MSG),
為何,ㄨㄟˋ ㄏㄜˊ,why,
衛生,ㄨㄟˋ ㄕㄥ,health / hygiene / sanitation,
衛生紙,ㄨㄟˋ ㄕㄥ ㄓˇ,toilet paper / bathroom tissue,
衛星,ㄨㄟˋ ㄒㄧㄥ,satellite / moon,顆
慰問,ㄨㄟˋ ㄨㄣˋ,"to express sympathy, greetings, consolation etc",
溫和,ㄨㄣ ㄏㄜˊ,lukewarm,
文法,ㄨㄣˊ ㄈㄚˇ,grammar,
文具,ㄨㄣˊ ㄐㄩˋ,"stationery / item of stationery (pen, pencil, eraser, pencil sharpener etc)",
文憑,ㄨㄣˊ ㄆㄧㄥˊ,diploma,
文物,ㄨㄣˊ ㄨˋ,cultural relic / historical relic,件 / 個
文藝,ㄨㄣˊ ㄧˋ,literature and art,
蚊子,ㄨㄣˊ ㄗ˙,mosquito,
吻,ㄨㄣˇ,kiss / to kiss / mouth,
吻,ㄨㄣˇ,kiss / to kiss / mouth,
穩,ㄨㄣˇ,settled / steady / stable,
握,ㄨㄛˋ,to hold / to grasp / to clench (one's fist) / to master / classifier: a handful,
臥房,ㄨㄛˋ ㄈㄤˊ,bedroom / a sleeping compartment (on a train),
汙染,ㄨ ㄖㄢˇ,pollution / contamination,個
污染,ㄨ ㄖㄢˇ,pollution / contamination,個
無可奈何,ㄨˊ ㄎㄜˇ ㄋㄞˋ ㄏㄜˊ,have no way out / have no alternative / abbr. to 無奈奈[wu2 nai4],
無論,ㄨˊ ㄌㄨㄣˋ,no matter what or how / regardless of whether...,
無情,ㄨˊ ㄑㄧㄥˊ,pitiless / ruthless / merciless / heartless,
無數,ㄨˊ ㄕㄨˋ,countless / numberless / innumerable,
無限,ㄨˊ ㄒㄧㄢˋ,unlimited / unbounded,
無意,ㄨˊ ㄧˋ,inadvertent / accidental / to have no intention of (doing sth),
武器,ㄨˇ ㄑㄧˋ,weapon / arms,種
武術,ㄨˇ ㄕㄨˋ,military skill or technique (in former times) / all kinds of martial art sports (some claiming spiritual development) / self-defense / tradition of choreographed fights from opera and film (recent usage) / also called kungfu 功夫,種
舞,ㄨˇ,to dance / to wield / to brandish,
舞蹈,ㄨˇ ㄉㄠˋ,dance (performance art) / dancing,
舞台,ㄨˇ ㄊㄞˊ,stage / arena / fig. in the limelight,
舞臺,ㄨˇ ㄊㄞˊ,stage / arena / fig. in the limelight,
舞廳,ㄨˇ ㄊㄧㄥ,dance hall / ballroom,間
勿,ㄨˋ,do not,
物理,ㄨˋ ㄌㄧˇ,physics / physical,
物質,ㄨˋ ㄓˊ,matter / substance / material / materialistic,個
誤,ㄨˋ,mistake / error / to miss / to harm / to delay / to neglect / mistakenly,
誤,ㄨˋ,mistake / error / to miss / to harm / to delay / to neglect / mistakenly,
誤點,ㄨˋ ㄉㄧㄢˇ,"not on time / late (public transport, airlines) / overdue / behind schedule / delayed",
誤會,ㄨˋ ㄏㄨㄟˋ,to misunderstand / to mistake / misunderstanding,個
霧,ㄨˋ,fog / mist,場 / 陣
西裝,ㄒㄧ ㄓㄨㄤ,suit / Western-style clothes,套
吸,ㄒㄧ,to breathe / to suck in / to absorb / to inhale,
吸取,ㄒㄧ ㄑㄩˇ,"to absorb / to draw (a lesson, insight etc) / to assimilate",
吸食,ㄒㄧ ㄕˊ,to suck / to take in,
吸菸,ㄒㄧ ㄧㄢ,to smoke,
媳婦,ㄒㄧˊ ㄈㄨˋ,daughter-in-law / wife (of a younger man) / young married woman / young woman,
喜酒,ㄒㄧˇ ㄐㄧㄡˇ,wedding feast / liquor drunk at a wedding feast,
喜劇,ㄒㄧˇ ㄐㄩˋ,comedy,部 / 齣
系列,ㄒㄧˋ ㄌㄧㄝˋ,series / set,
細胞,ㄒㄧˋ ㄅㄠ,cell (biology),
細節,ㄒㄧˋ ㄐㄧㄝˊ,details / particulars,
細菌,ㄒㄧˋ ㄐㄩㄣˋ,bacterium / germ,
細小,ㄒㄧˋ ㄒㄧㄠˇ,tiny / fine / minute,
瞎,ㄒㄧㄚ,blind / groundlessly / foolishly / to no purpose,
蝦,ㄒㄧㄚ,shrimp / prawn,
蝦子,ㄒㄧㄚ ㄗ˙,shrimp roe / shrimp eggs / shrimp,
蝦米,ㄒㄧㄚ ㄇㄧˇ,"small shrimp / dried, shelled shrimps",
下巴,ㄒㄧㄚˋ ㄅㄚ,chin,個
下降,ㄒㄧㄚˋ ㄐㄧㄤˋ,to decline / to drop / to fall / to go down / to decrease,
下來,ㄒㄧㄚˋ ㄌㄞˊ,"to come down / (completed action marker) / (after verb of motion, indicates motion down and towards us, also fig.) / (indicates continuation from the past towards us) / to be harvested (of crops) / to be over (of a period of time) / to go among the masses (said of leaders)",
下棋,ㄒㄧㄚˋ ㄑㄧˊ,to play chess,
下去,ㄒㄧㄚˋ ㄑㄩˋ,to go down / to descend / to go on / to continue / (of a servant) to withdraw,
下午茶,ㄒㄧㄚˋ ㄨˇ ㄔㄚˊ,"afternoon tea (light afternoon meal, typically pastries with tea or coffee)",
下游,ㄒㄧㄚˋ ㄧㄡˊ,lower reaches (of a river) / lower level / lower echelon / downstream,
夏季,ㄒㄧㄚˋ ㄐㄧˋ,summer,
先進,ㄒㄧㄢ ㄐㄧㄣˋ,advanced (technology) / to advance,
鮮,ㄒㄧㄢ,few / rare,
鮮花,ㄒㄧㄢ ㄏㄨㄚ,flower / fresh flowers,朵
鮮奶,ㄒㄧㄢ ㄋㄞˇ,fresh milk,
鮮血,ㄒㄧㄢ ㄒㄧㄝˇ,blood,
閒,ㄒㄧㄢˊ,idle / unoccupied / leisure,
嫌,ㄒㄧㄢˊ,"to dislike / suspicion / resentment / enmity / abbr. for 嫌犯[xian2 fan4], criminal suspect",
顯得,ㄒㄧㄢˇ ㄉㄜ˙,to seem / to look / to appear,
顯然,ㄒㄧㄢˇ ㄖㄢˊ,clear / evident / obvious(ly),
顯示,ㄒㄧㄢˇ ㄕˋ,to show / to illustrate / to display / to demonstrate,
顯著,ㄒㄧㄢˇ ㄓㄨˋ,outstanding / notable / remarkable / statistically significant,
現,ㄒㄧㄢˋ,to appear / present / now / existing / current,
現場,ㄒㄧㄢˋ ㄔㄤˇ,"the scene (of a crime, accident etc) / (on) the spot / (at) the site",
現成,ㄒㄧㄢˋ ㄔㄥˊ,ready-made / readily available,
現金,ㄒㄧㄢˋ ㄐㄧㄣ,cash,
羨慕,ㄒㄧㄢˋ ㄇㄨˋ,to envy / to admire,
限制,ㄒㄧㄢˋ ㄓˋ,to restrict / to limit / to confine / restriction / limit,個
相,ㄒㄧㄤ,"appearance / portrait / picture / government minister / (physics) phase / (literary) to appraise (esp. by scrutinizing physical features) / to read sb's fortune (by physiognomy, palmistry etc)",
相處,ㄒㄧㄤ ㄔㄨˇ,"to be in contact (with sb) / to associate / to interact / to get along (well, poorly)",
相當,ㄒㄧㄤ ㄉㄤ,equivalent to / appropriate / considerably / to a certain extent / fairly / quite,
相互,ㄒㄧㄤ ㄏㄨˋ,each other / mutual,
相親相愛,ㄒㄧㄤ ㄑㄧㄣ ㄒㄧㄤ ㄞˋ,to be kind and love one another (idiom); bound by deep emotions,
相似,ㄒㄧㄤ ㄙˋ,to resemble / similar / like / resemblance / similarity,
箱,ㄒㄧㄤ,box / trunk / chest,
香腸,ㄒㄧㄤ ㄔㄤˊ,sausage,根
鄉村,ㄒㄧㄤ ㄘㄨㄣ,rustic / village / countryside,
想不到,ㄒㄧㄤˇ ㄅㄨˋ ㄉㄠˋ,unexpected / hard to imagine / it had not occurred to me / who could have thought that,
想念,ㄒㄧㄤˇ ㄋㄧㄢˋ,to miss / to remember with longing / to long to see again,
享受,ㄒㄧㄤˇ ㄕㄡˋ,to enjoy / to live it up / pleasure,種
享有,ㄒㄧㄤˇ ㄧㄡˇ,"to enjoy (rights, privileges etc)",
響應,ㄒㄧㄤˇ ㄧㄥˋ,to respond to / answer,個
象,ㄒㄧㄤˋ,elephant / shape / form / appearance / to imitate,隻
相片,ㄒㄧㄤˋ ㄆㄧㄢˋ,image / photograph,張
相片兒,ㄒㄧㄤˋ ㄆㄧㄢˋ ㄦ,image / photograph,張
相親,ㄒㄧㄤˋ ㄑㄧㄣ,blind date / arranged interview to evaluate a proposed marriage partner (Taiwan pr. [xiang4 qin1]) / to be deeply attached to each other,
巷,ㄒㄧㄤˋ,lane / alley,
巷子,ㄒㄧㄤˋ ㄗ˙,alley,
向來,ㄒㄧㄤˋ ㄌㄞˊ,always (previously),
項目,ㄒㄧㄤˋ ㄇㄨˋ,item / project / (sports) event,個
消,ㄒㄧㄠ,to disappear / to vanish / to eliminate / to spend (time) / have to / need,
消除,ㄒㄧㄠ ㄔㄨˊ,to eliminate / to remove,
消費,ㄒㄧㄠ ㄈㄟˋ,to consume / to spend,
消費,ㄒㄧㄠ ㄈㄟˋ,to consume / to spend,
消化,ㄒㄧㄠ ㄏㄨㄚˋ,to digest / digestion / digestive,
消極,ㄒㄧㄠ ㄐㄧˊ,negative / passive / inactive,
消滅,ㄒㄧㄠ ㄇㄧㄝˋ,to put an end to / to annihilate / to cause to perish / to perish / annihilation (in quantum field theory),
消失,ㄒㄧㄠ ㄕ,to disappear / to fade away,
消夜,ㄒㄧㄠ ㄧㄝˋ,nighttime snack / late-night supper,
宵夜,ㄒㄧㄠ ㄧㄝˋ,midnight snack / late-night snack,
銷路,ㄒㄧㄠ ㄌㄨˋ,sale / market / state of the market / sales event,
銷售,ㄒㄧㄠ ㄕㄡˋ,"to sell / to market / sales (representative, agreement etc)",
小便,ㄒㄧㄠˇ ㄅㄧㄢˋ,to urinate / to pass water / urine,
小費,ㄒㄧㄠˇ ㄈㄟˋ,tip / gratuity,
小麥,ㄒㄧㄠˇ ㄇㄞˋ,wheat,粒
小氣,ㄒㄧㄠˇ ㄑㄧˋ,stingy / miserly / narrow-minded / petty,
小腿,ㄒㄧㄠˇ ㄊㄨㄟˇ,lower leg (from knee to ankle) / shank,
小子,ㄒㄧㄠˇ ㄗ˙,(coll.) boy / (derog.) joker / guy / (despicable) fellow,
曉得,ㄒㄧㄠˇ ㄉㄜ˙,to know,
校車,ㄒㄧㄠˋ ㄔㄜ,school bus,
校友,ㄒㄧㄠˋ ㄧㄡˇ,schoolmate / alumnus / alumna,
效率,ㄒㄧㄠˋ ㄌㄩˋ,efficiency,
笑容,ㄒㄧㄠˋ ㄖㄨㄥˊ,smile / smiling expression,副
歇,ㄒㄧㄝ,to rest / to take a break / to stop / to halt / (dialect) to sleep / a moment / a short while,
斜,ㄒㄧㄝˊ,inclined / slanting / oblique / tilting,
血管,ㄒㄧㄝˇ ㄍㄨㄢˇ,vein / artery,根
血型,ㄒㄧㄝˇ ㄒㄧㄥˊ,blood group / blood type,
血液,ㄒㄧㄝˇ ㄧㄝˋ,blood,
心靈,ㄒㄧㄣ ㄌㄧㄥˊ,bright / smart / quick-witted / heart / thoughts / spirit,
心目中,ㄒㄧㄣ ㄇㄨˋ ㄓㄨㄥ,in one's eyes / in one's estimation,
心聲,ㄒㄧㄣ ㄕㄥ,thoughts / feelings / aspirations / heartfelt wishes / inner voice,
心跳,ㄒㄧㄣ ㄊㄧㄠˋ,heartbeat / pulse,
心臟,ㄒㄧㄣ ㄗㄤˋ,heart,顆 / 個
新郎,ㄒㄧㄣ ㄌㄤˊ,bridegroom / groom,
新娘,ㄒㄧㄣ ㄋㄧㄤˊ,bride,
新式,ㄒㄧㄣ ㄕˋ,new style / latest type,
新興,ㄒㄧㄣ ㄒㄧㄥ,"(of markets, industries, infectious diseases etc) rising / emerging / in the ascendant",
薪水,ㄒㄧㄣ ㄕㄨㄟˇ,salary / wage,
信號,ㄒㄧㄣˋ ㄏㄠˋ,signal,
信任,ㄒㄧㄣˋ ㄖㄣˋ,to trust / to have confidence in,
信仰,ㄒㄧㄣˋ ㄧㄤˇ,to believe in (a religion) / firm belief / conviction,
信仰,ㄒㄧㄣˋ ㄧㄤˇ,to believe in (a religion) / firm belief / conviction,
信用,ㄒㄧㄣˋ ㄩㄥˋ,to trust / credit (commerce) / trustworthiness / creditworthiness,
星光,ㄒㄧㄥ ㄍㄨㄤ,starlight,
行程,ㄒㄧㄥˊ ㄔㄥˊ,journey / course of a journey / distance traveled / trajectory / itinerary / route / course (of history) / stroke (of a piston) / (Tw) (computing) process,
行動,ㄒㄧㄥˊ ㄉㄨㄥˋ,operation / action / to move about / mobile,個
行人,ㄒㄧㄥˊ ㄖㄣˊ,pedestrian / traveler on foot / passer-by / official responsible for arranging audiences with the emperor,
形成,ㄒㄧㄥˊ ㄔㄥˊ,to form / to take shape,
形式,ㄒㄧㄥˊ ㄕˋ,outer appearance / form / shape / formality,個
形象,ㄒㄧㄥˊ ㄒㄧㄤˋ,image / form / figure / visualization / vivid,個
形狀,ㄒㄧㄥˊ ㄓㄨㄤˋ,form / shape,個
性質,ㄒㄧㄥˋ ㄓˊ,nature / characteristic,個
雄偉,ㄒㄩㄥˊ ㄨㄟˇ,grand / imposing / magnificent / majestic,
休假,ㄒㄧㄡ ㄐㄧㄚˋ,to take a vacation / to go on holiday,
休閒,ㄒㄧㄡ ㄒㄧㄢˊ,leisure / relaxation / not working / idle / to enjoy leisure / to lie fallow,
修正,ㄒㄧㄡ ㄓㄥˋ,to revise / to amend,
需,ㄒㄩ,to require / to need / to want / necessity / need,
須知,ㄒㄩ ㄓ,key information / instructions / it must be borne in mind,
許,ㄒㄩˇ,to allow / to permit / to promise / to praise / somewhat / perhaps,
許願,ㄒㄩˇ ㄩㄢˋ,to make a wish / to make a vow / to promise a reward,
宣布,ㄒㄩㄢ ㄅㄨˋ,to declare / to announce / to proclaim,
宣佈,ㄒㄩㄢ ㄅㄨˋ,to declare / to announce / to proclaim,
宣傳,ㄒㄩㄢ ㄔㄨㄢˊ,to disseminate / to give publicity to / propaganda,個
宣傳,ㄒㄩㄢ ㄔㄨㄢˊ,to disseminate / to give publicity to / propaganda,個
懸,ㄒㄩㄢˊ,to hang or suspend / to worry / public announcement / unresolved / baseless / without foundation,
選手,ㄒㄩㄢˇ ㄕㄡˇ,athlete / contestant,
靴,ㄒㄩㄝ,boots,
靴子,ㄒㄩㄝ ㄗ˙,boots,
學會,ㄒㄩㄝˊ ㄏㄨㄟˋ,to learn / to master / institute / learned society / (scholarly) association,
學歷,ㄒㄩㄝˊ ㄌㄧˋ,educational background / academic qualifications,
學術,ㄒㄩㄝˊ ㄕㄨˋ,learning / science / academic,個
學位,ㄒㄩㄝˊ ㄨㄟˋ,academic degree / place in school,
學業,ㄒㄩㄝˊ ㄧㄝˋ,studies / schoolwork,
學者,ㄒㄩㄝˊ ㄓㄜˇ,scholar,
雪花,ㄒㄩㄝˇ ㄏㄨㄚ,snowflake,
削減,ㄒㄩㄝˋ ㄐㄧㄢˇ,to cut down / to reduce / to lower,
尋,ㄒㄩㄣˊ,to search / to look for / to seek,
循環,ㄒㄩㄣˊ ㄏㄨㄢˊ,to cycle / to circulate / circle / loop,
迅速,ㄒㄩㄣˋ ㄙㄨˋ,rapid / speedy / fast,
壓,ㄧㄚ,see 壓根兒根儿[ya4 gen1 r5],
壓力,ㄧㄚ ㄌㄧˋ,pressure,
壓迫,ㄧㄚ ㄆㄛˋ,to oppress / to repress / to constrict / oppression / stress (physics),
牙膏,ㄧㄚˊ ㄍㄠ,toothpaste,管
煙,ㄧㄢ,cigarette or pipe tobacco / smoke / mist / vapour / tobacco plant / (of the eyes) to be irritated by smoke,根 / 縷
菸,ㄧㄢ,to wither / dried leaves / faded / withered,
沿,ㄧㄢˊ,"along / to follow (a line, tradition etc) / to carry on / to trim (a border with braid, tape etc) / border / edge",
嚴,ㄧㄢˊ,tight (closely sealed) / stern / strict / rigorous / severe / father,
嚴格,ㄧㄢˊ ㄍㄜˊ,strict / stringent / tight / rigorous,
嚴肅,ㄧㄢˊ ㄙㄨˋ,solemn / grave / serious / earnest / severe,
鹽巴,ㄧㄢˊ ㄅㄚ,table salt,
延長,ㄧㄢˊ ㄔㄤˊ,to prolong / to extend / to delay,
癌症,ㄞˊ ㄓㄥˋ,cancer,
演唱,ㄧㄢˇ ㄔㄤˋ,sung performance / to sing for an audience,
演奏,ㄧㄢˇ ㄗㄡˋ,to perform on a musical instrument,
掩蓋,ㄧㄢˇ ㄍㄞˋ,to conceal / to hide behind / to cover up,
宴會,ㄧㄢˋ ㄏㄨㄟˋ,banquet / feast / dinner party,席 / 個
厭惡,ㄧㄢˋ ㄨˋ,to loathe / to hate / disgusted with sth,
癢,ㄧㄤˇ,to itch / to tickle,
氧氣,ㄧㄤˇ ㄑㄧˋ,oxygen,
樣品,ㄧㄤˋ ㄆㄧㄣˇ,sample / specimen,
喲,ㄧㄠ,(sentence-final particle expressing exhortation) / (syllable filler in a song),
腰,ㄧㄠ,waist / lower back / pocket / middle / loins,
搖,ㄧㄠˊ,to shake / to rock / to row / to crank,
搖擺,ㄧㄠˊ ㄅㄞˇ,to sway / to wobble / to waver,
搖頭,ㄧㄠˊ ㄊㄡˊ,to shake one's head,
要不,ㄧㄠˋ ㄅㄨˋ,otherwise / or else / how about...? / either... (or...),
要好,ㄧㄠˋ ㄏㄠˇ,to be on good terms / to be close friends / striving for self-improvement,
要命,ㄧㄠˋ ㄇㄧㄥˋ,to cause sb's death / very / extremely / frightening / annoying,
藥方,ㄧㄠˋ ㄈㄤ,prescription,
藥水,ㄧㄠˋ ㄕㄨㄟˇ,medicine in liquid form / bottled medicine / lotion,
藥物,ㄧㄠˋ ㄨˋ,medicaments / pharmaceuticals / medication / medicine / drug,
野,ㄧㄝˇ,field / plain / open space / limit / boundary / rude / feral,
野獸,ㄧㄝˇ ㄕㄡˋ,beast / wild animal,
野心,ㄧㄝˇ ㄒㄧㄣ,ambition / wild schemes / careerism,
夜景,ㄧㄝˋ ㄐㄧㄥˇ,nightscape,
夜晚,ㄧㄝˋ ㄨㄢˇ,night,個
業務,ㄧㄝˋ ㄨˋ,business / professional work / service,項
業餘,ㄧㄝˋ ㄩˊ,in one's spare time / outside working hours / amateur (historian etc),
葉子,ㄧㄝˋ ㄗ˙,foliage / leaf,片
一一,ㄧ ㄧ,one by one / one after another,
衣裳,ㄧ ㄕㄤ˙,clothes,
依據,ㄧ ㄐㄩˋ,according to / basis / foundation,
依然,ㄧ ㄖㄢˊ,still / as before,
醫,ㄧ,medical / medicine / doctor / to cure / to treat,
醫師,ㄧ ㄕ,doctor,
醫學,ㄧ ㄒㄩㄝˊ,medicine / medical science / study of medicine,
一帶,ㄧ ㄉㄞˋ,region / district,
一旦,ㄧ ㄉㄢˋ,"in case (sth happens) / if / once (sth happens, then...) / when / in a short time / in one day",
一大早,ㄧ ㄉㄚˋ ㄗㄠˇ,at dawn / at first light / first thing in the morning,
一面,ㄧ ㄇㄧㄢˋ,one side / one aspect / simultaneously... (and...) / one's whole face,
一再,ㄧ ㄗㄞˋ,repeatedly,
一致,ㄧ ㄓˋ,unanimous / identical (views or opinions),
移,ㄧˊ,to move / to shift / to change / to alter / to remove,
移動,ㄧˊ ㄉㄨㄥˋ,to move / movement / migration / mobile / portable,
移民,ㄧˊ ㄇㄧㄣˊ,to immigrate / to migrate / emigrant / immigrant,
疑問,ㄧˊ ㄨㄣˋ,question / interrogation / doubt,
儀器,ㄧˊ ㄑㄧˋ,instrument / apparatus,臺
儀式,ㄧˊ ㄕˋ,ceremony,
乙,ㄧˇ,turning stroke (in Chinese characters) / see also 折[zhe2],
已婚,ㄧˇ ㄏㄨㄣ,married,
以,ㄧˇ,to use / by means of / according to / in order to / because of / at (a certain date or place),
以便,ㄧˇ ㄅㄧㄢˋ,so that / so as to / in order to,
以及,ㄧˇ ㄐㄧˊ,as well as / too / and,
以往,ㄧˇ ㄨㄤˇ,in the past / formerly,
一般而言,ㄧ ㄅㄢ ㄦˊ ㄧㄢˊ,generally speaking,
一口氣,ㄧ ㄎㄡˇ ㄑㄧˋ,one breath / in one breath / at a stretch,
一旁,ㄧ ㄆㄤˊ,aside / to the side of,
一齊,ㄧ ㄑㄧˊ,at the same time / simultaneously,
一天到晚,ㄧ ㄊㄧㄢ ㄉㄠˋ ㄨㄢˇ,all day long / the whole day,
易,ㄧˋ,"easy / amiable / to change / to exchange / prefix corresponding to the English adjective suffix ""-able"" or ""-ible""",
意識,ㄧˋ ㄕˋ,consciousness / awareness / to be aware / to realize,
意外,ㄧˋ ㄨㄞˋ,unexpected / accident / mishap,個
意願,ㄧˋ ㄩㄢˋ,aspiration / wish (for) / desire,
意志,ㄧˋ ㄓˋ,will / willpower / determination,個
億,ㄧˋ,100 million,
義務,ㄧˋ ㄨˋ,duty / obligation / volunteer (work etc),項
議會,ㄧˋ ㄏㄨㄟˋ,parliament / legislative assembly,
因而,ㄧㄣ ㄦˊ,"therefore / as a result / thus / and as a result, ...",
因素,ㄧㄣ ㄙㄨˋ,element / factor,個
銀,ㄧㄣˊ,silver / silver-colored / relating to money or currency,
引發,ㄧㄣˇ ㄈㄚ,to lead to / to trigger / to initiate / to cause / to evoke (emotions),
飲,ㄧㄣˇ,to give (animals) water to drink,
飲食,ㄧㄣˇ ㄕˊ,food and drink / diet,
印,ㄧㄣˋ,to print / to mark / to engrave / a seal / a print / a stamp / a mark / a trace / image,
印刷,ㄧㄣˋ ㄕㄨㄚ,to print / printing,
印象,ㄧㄣˋ ㄒㄧㄤˋ,impression,
印章,ㄧㄣˋ ㄓㄤ,seal / signet / chop / stamp,方
應當,ㄧㄥ ㄉㄤ,should / ought to,
嬰兒,ㄧㄥ ㄦˊ,infant / baby / lead (Pb),個
英雄,ㄧㄥ ㄒㄩㄥˊ,hero,個
